timestamp,quaternion_w,quaternion_x,quaternion_y,quaternion_z,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,orientation_pitch,orientation_roll,orientation_yaw,commands_rollCmd,commands_pitchCmd,commands_yawCmd
1743179046.8501716,0.8655,0.0326,-0.1425,0.4791,0.258,-0.128,0.963,-1.936,-0.817,-1.55,-16.14,-4.78,58.61,-0.224,0.757,-1.0
1743179047.8494184,0.8686,0.0301,-0.1491,0.4716,0.284,-0.116,0.984,-0.565,0.987,-2.713,-16.7,-5.29,57.77,-0.211,0.783,-1.0
1743179048.849481,0.9231,0.0098,-0.0147,0.3842,0.228,-0.293,0.622,-24.832,6.436,-26.293,-1.98,0.39,45.19,-0.098,0.232,-1.0
1743179049.8500988,0.9203,-0.0809,-0.04,0.3808,0.087,-0.218,0.992,143.393,32.112,-13.912,-0.69,-10.34,45.02,0.221,0.287,-1.0
1743179050.8499453,0.9622,-0.0773,-0.0127,0.2608,0.046,0.051,1.135,-9.823,-28.088,-51.953,0.91,-8.94,30.26,0.265,0.239,-1.0
1743179051.8494506,0.9877,0.0028,-0.1005,0.12,0.214,-0.154,1.187,9.187,-5.954,22.624,-11.49,-1.09,13.97,0.0,0.581,-0.482
1743179052.8498297,0.9727,-0.053,0.0319,0.2238,-0.125,-0.022,1.001,-0.899,1.658,1.89,4.93,-5.11,25.7,0.174,0.0,-0.912
1743179053.8498595,0.9712,-0.0381,0.05,0.2298,0.053,-0.059,1.001,-3.281,14.067,23.97,6.58,-2.94,26.46,0.114,0.0,-0.934
1743179054.8493745,0.9429,-0.1,0.2906,0.1287,0.163,0.092,0.645,12.721,-52.086,-63.89,35.01,-7.98,13.03,0.38,-0.98,-0.54
1743179055.849489,0.9555,-0.0381,0.1451,0.2539,0.157,-0.33,3.097,79.635,251.572,-5.696,17.26,0.05,29.77,0.105,-0.545,-1.0
1743179056.849863,0.9592,0.0501,-0.2771,0.0243,0.113,0.01,0.466,-9.766,-145.052,-35.963,-32.28,5.61,1.28,-0.21,1.0,-0.09
1743179057.8498266,0.9592,0.0501,-0.2771,0.0243,0.113,0.01,0.466,-9.766,-145.052,-35.963,-32.28,5.61,1.28,-0.21,1.0,-0.09
1743179058.8507454,0.9592,0.0501,-0.2771,0.0243,0.113,0.01,0.466,-9.766,-145.052,-35.963,-32.28,5.61,1.28,-0.21,1.0,-0.09
