timestamp,quaternion_w,quaternion_x,quaternion_y,quaternion_z,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,orientation_pitch,orientation_roll,orientation_yaw,commands_rollCmd,commands_pitchCmd,commands_yawCmd
1743178761.8496258,0.9939,-0.0311,-0.0292,-0.1017,0.031,-0.036,0.962,-0.069,-4.367,4.16,-3.69,-3.21,348.42,0.142,0.294,0.402
1743178762.8497207,0.9956,-0.0341,-0.0474,-0.073,0.152,-0.147,1.244,18.505,-13.559,29.946,-5.7,-3.51,351.79,0.144,0.372,0.287
1743178763.8498383,0.9763,-0.0406,-0.0078,0.2126,-0.057,0.156,0.433,-43.435,-11.409,55.261,0.12,-4.74,24.56,0.138,0.212,-0.864
1743178764.8495827,0.9891,0.0236,-0.0361,0.1408,0.026,0.022,1.002,-3.56,6.64,-2.9,-4.48,2.1,16.12,-0.118,0.314,-0.561
1743178765.8496993,0.9961,0.0391,-0.0168,0.0778,0.1,0.092,1.111,-16.211,18.247,-8.884,-2.27,4.32,8.84,-0.165,0.233,-0.305
1743178766.8499718,0.99,0.0218,0.0815,0.1127,-1.757,0.328,1.305,32.192,6.345,-74.474,9.0,3.58,13.27,-0.116,-0.183,-0.448
1743178767.8499577,0.9948,0.0156,-0.0999,0.0115,0.143,0.016,0.271,7.941,-41.469,3.965,-11.48,1.68,1.16,0.0,0.592,0.0
1743178768.8499954,0.9948,0.0156,-0.0999,0.0115,0.143,0.016,0.271,7.941,-41.469,3.965,-11.48,1.68,1.16,0.0,0.592,0.0
1743178769.849932,0.9948,0.0156,-0.0999,0.0115,0.143,0.016,0.271,7.941,-41.469,3.965,-11.48,1.68,1.16,0.0,0.592,0.0
1743178770.8499568,0.9948,0.0156,-0.0999,0.0115,0.143,0.016,0.271,7.941,-41.469,3.965,-11.48,1.68,1.16,0.0,0.592,0.0
1743178771.8501904,0.9948,0.0156,-0.0999,0.0115,0.143,0.016,0.271,7.941,-41.469,3.965,-11.48,1.68,1.16,0.0,0.592,0.0
1743178772.8502688,0.9948,0.0156,-0.0999,0.0115,0.143,0.016,0.271,7.941,-41.469,3.965,-11.48,1.68,1.16,0.0,0.592,0.0
1743178773.8504007,0.9948,0.0156,-0.0999,0.0115,0.143,0.016,0.271,7.941,-41.469,3.965,-11.48,1.68,1.16,0.0,0.592,0.0
1743178774.850471,0.9948,0.0156,-0.0999,0.0115,0.143,0.016,0.271,7.941,-41.469,3.965,-11.48,1.68,1.16,0.0,0.592,0.0
1743178775.8505735,0.9948,0.0156,-0.0999,0.0115,0.143,0.016,0.271,7.941,-41.469,3.965,-11.48,1.68,1.16,0.0,0.592,0.0
1743178776.850598,0.9948,0.0156,-0.0999,0.0115,0.143,0.016,0.271,7.941,-41.469,3.965,-11.48,1.68,1.16,0.0,0.592,0.0
1743178777.8505623,0.9948,0.0156,-0.0999,0.0115,0.143,0.016,0.271,7.941,-41.469,3.965,-11.48,1.68,1.16,0.0,0.592,0.0
1743178778.8519201,0.5953,0.0525,0.0006,0.8018,0.24,0.021,0.844,28.975,-4.375,-78.352,-4.79,3.65,106.66,-0.416,0.104,-1.0
1743178779.854941,0.9704,0.0664,-0.0425,0.2282,0.19,0.095,1.231,-2.357,28.613,-26.307,-6.47,6.33,26.1,-0.308,0.331,-0.91
1743178780.8565967,0.9679,0.0592,-0.0757,0.2323,-0.105,-0.099,1.129,22.854,2.38,55.732,-10.02,4.63,26.59,-0.287,0.473,-0.729
1743178781.8554676,0.9304,0.0521,0.0346,0.3612,-0.064,0.074,1.024,-6.577,0.192,-2.134,1.53,7.01,42.47,-0.299,0.0,-1.0
