timestamp,quaternion_w,quaternion_x,quaternion_y,quaternion_z,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,orientation_pitch,orientation_roll,orientation_yaw,commands_rollCmd,commands_pitchCmd,commands_yawCmd
1743178955.8494265,0.9964,-0.0164,-0.0451,-0.07,0.1,-0.035,1.003,-2.378,0.635,-0.493,-5.29,-1.51,352.04,0.0,0.355,0.277
1743178956.8492954,0.9822,0.0469,-0.0354,-0.1786,-0.111,0.249,1.079,-7.927,1.059,-24.155,-3.02,6.02,339.23,-0.157,0.311,0.727
1743178957.8494911,0.7778,0.0742,-0.1828,-0.5968,0.292,0.179,0.963,7.307,-4.218,-12.29,-11.29,19.89,283.02,-0.209,0.945,1.0
1743178958.8497038,0.7906,-0.0136,-0.1805,-0.585,0.208,0.195,0.982,16.657,4.777,42.849,-17.54,11.47,285.23,0.165,0.931,1.0
1743178959.8502262,0.9775,-0.0194,-0.0524,-0.2032,0.018,0.002,1.124,-0.808,22.137,40.195,-6.33,-0.96,336.57,0.112,0.371,0.816
1743178960.8497925,0.9933,-0.0278,0.0494,-0.1004,-0.286,0.163,0.913,-13.412,55.055,57.732,5.31,-3.75,348.29,0.126,0.0,0.397
1743178961.8501794,0.9047,-0.027,0.3875,-0.175,0.088,0.005,0.369,26.964,-36.087,-36.755,43.76,-14.8,332.13,0.139,-1.0,0.713
1743178962.8495467,0.8508,-0.0216,0.0271,-0.5243,0.018,-0.044,0.687,-0.04,-14.271,-30.253,1.35,-3.73,296.67,0.189,0.0,1.0
1743178963.8501503,0.8262,0.0952,-0.2374,-0.5019,0.038,-0.053,1.304,27.944,47.587,9.305,-17.26,24.47,293.67,-0.327,1.0,1.0
1743178964.8506212,0.8262,0.0952,-0.2374,-0.5019,0.038,-0.053,1.304,27.944,47.587,9.305,-17.26,24.47,293.67,-0.327,1.0,1.0
1743178965.8505027,0.8262,0.0952,-0.2374,-0.5019,0.038,-0.053,1.304,27.944,47.587,9.305,-17.26,24.47,293.67,-0.327,1.0,1.0
1743178966.8499377,0.8262,0.0952,-0.2374,-0.5019,0.038,-0.053,1.304,27.944,47.587,9.305,-17.26,24.47,293.67,-0.327,1.0,1.0
