timestamp,quaternion_w,quaternion_x,quaternion_y,quaternion_z,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,orientation_pitch,orientation_roll,orientation_yaw,commands_rollCmd,commands_pitchCmd,commands_yawCmd
1743179435.8497326,0.3447,0.1067,0.0535,0.9311,0.269,0.138,1.338,4.997,-8.669,29.04,-9.31,10.1,138.54,-0.77,-0.197,-1.0
1743179436.8495216,0.6565,-0.1343,-0.036,-0.7414,0.078,0.082,1.147,9.924,10.688,66.976,-14.26,-7.29,263.96,0.745,0.29,1.0
1743179437.849733,0.7588,0.1982,-0.1461,-0.603,-0.105,0.444,0.926,61.843,-3.315,13.631,1.0,28.5,283.31,-0.768,0.806,1.0
1743179438.8493047,0.8078,0.1206,0.1111,-0.5662,-0.2,-0.041,0.935,20.329,88.01,10.756,18.43,4.17,290.62,-0.434,-0.355,1.0
1743179439.8494022,0.7446,0.0443,-0.0445,-0.6646,0.092,0.099,1.224,44.784,40.097,-60.711,-0.43,7.19,276.47,0.0,0.337,1.0
1743179440.8494916,0.2067,-0.0758,-0.1191,0.9682,-0.064,-0.095,1.018,-21.943,-25.284,-15.205,5.6,-15.26,155.14,0.175,0.731,-1.0
1743179441.8494763,0.2451,0.0759,-0.2336,0.9379,0.268,-0.405,0.866,-15.291,1.81,4.785,-14.89,-24.51,153.96,-0.639,1.0,-1.0
1743179442.8497758,0.1438,0.0688,0.0786,0.9841,-0.003,0.631,0.715,-0.315,7.032,-101.059,-6.48,10.12,162.8,-0.633,-0.428,-1.0
1743179443.8498209,0.1014,0.0335,0.0572,0.9926,0.064,0.391,1.15,1.173,47.613,48.64,-3.15,6.92,168.14,-0.433,-0.324,-1.0
1743179444.8494933,0.0067,0.0647,0.0703,0.9954,0.03,0.143,0.913,11.316,-19.96,12.75,-7.35,8.17,178.71,-0.686,-0.448,-1.0
1743179445.8500736,0.0092,0.0939,0.0346,0.9949,0.053,-0.028,0.893,17.804,-37.655,-3.189,-10.73,4.12,178.56,-0.875,-0.226,-1.0
1743179446.8502734,0.061,0.1381,0.0327,0.988,0.278,-0.105,0.97,-9.612,-7.143,23.309,-15.6,4.85,172.27,-1.0,-0.168,-1.0
1743179447.849711,0.2117,0.0123,0.0061,0.9772,0.11,-0.036,0.982,21.646,4.732,-4.727,-1.22,0.98,155.55,-0.305,0.0,-1.0
1743179448.8498816,0.2137,0.0309,0.0298,0.976,0.081,0.062,1.002,1.76,-2.543,-1.3,-2.73,4.1,155.2,-0.409,-0.114,-1.0
1743179449.8498142,0.2137,0.0309,0.0298,0.976,0.081,0.062,1.002,1.76,-2.543,-1.3,-2.73,4.1,155.2,-0.409,-0.114,-1.0
1743179450.8505251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1743179451.8515327,0.8488,-0.2665,0.288,-0.3543,0.493,-0.179,1.171,25.28,60.885,241.997,17.46,-43.49,307.68,1.0,-1.0,1.0
1743179452.8527172,0.925,-0.1685,-0.0945,0.3272,0.078,-0.286,0.914,160.982,38.642,-14.294,-3.7,-21.98,39.69,0.582,0.533,-1.0
1743179453.8550246,0.8814,-0.0577,-0.3215,0.3412,-0.039,-0.058,0.973,-15.785,-5.893,10.125,-31.82,-22.2,48.72,0.183,1.0,-1.0
1743179454.8526523,0.7345,0.0892,-0.5611,0.3711,0.429,0.028,1.117,-10.865,-100.17,4.564,-62.93,-38.84,77.96,-0.481,1.0,-1.0
