timestamp,quaternion_w,quaternion_x,quaternion_y,quaternion_z,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,orientation_pitch,orientation_roll,orientation_yaw,commands_rollCmd,commands_pitchCmd,commands_yawCmd
1743178786.8498642,0.9174,-0.013,0.0318,0.3965,-0.053,0.018,0.995,-0.006,0.247,0.159,3.93,0.08,46.75,0.0,0.0,-1.0
1743178787.849317,0.9221,0.0009,0.0693,0.3806,-0.078,-0.065,1.406,2.821,-29.127,-3.982,7.3,3.15,45.06,0.0,-0.103,-1.0
1743178788.8495147,0.9055,0.1004,0.0793,0.4045,0.122,0.223,0.853,22.124,-10.877,11.751,3.58,14.27,48.59,-0.497,-0.161,-1.0
1743178789.8495383,0.7607,0.2024,0.0645,0.6134,0.188,0.43,0.894,-1.215,9.969,39.159,-8.64,23.05,76.0,-0.997,-0.135,-1.0
1743178790.849869,0.58,0.1752,0.0958,0.7897,0.093,0.409,0.914,-3.877,-10.717,10.308,-9.53,21.07,105.63,-0.981,-0.324,-1.0
1743178791.849636,0.5826,0.1663,0.1198,0.7865,0.143,0.343,0.968,2.035,-8.847,-4.35,-7.01,22.65,105.54,-0.937,-0.437,-1.0
1743178792.8495078,0.5488,0.138,0.1116,0.8169,0.104,0.311,0.95,-0.533,3.284,3.79,-5.91,19.61,111.19,-0.819,-0.415,-1.0
1743178793.8499663,0.1977,0.0896,0.0552,0.9746,0.059,0.209,0.85,-16.1,-4.842,18.399,-8.79,8.32,156.42,-0.739,-0.25,-1.0
1743178794.849847,0.1816,0.1265,0.0921,0.9708,0.182,0.267,0.909,-21.826,-11.5,14.866,-12.25,13.3,157.37,-0.955,-0.458,-1.0
1743178795.8495023,0.1801,-0.0309,0.035,-0.9825,0.028,0.008,0.84,2.548,2.578,21.307,-2.76,-4.59,200.89,0.413,-0.149,1.0
1743178796.8497713,0.1749,0.0003,-0.0297,-0.9841,-0.035,0.06,1.007,-33.733,-0.911,-2.018,-0.57,3.36,200.14,0.244,0.187,1.0
