timestamp,quaternion_w,quaternion_x,quaternion_y,quaternion_z,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,orientation_pitch,orientation_roll,orientation_yaw,commands_rollCmd,commands_pitchCmd,commands_yawCmd
1743179282.8567014,0.029,-0.1175,-0.0219,-0.9924,0.291,-0.008,0.942,-1.225,0.111,0.161,-13.56,2.16,183.09,0.989,0.147,1.0
1743179283.852489,0.4241,-0.1352,-0.0426,-0.9267,0.351,0.067,0.669,-16.274,9.158,100.548,-16.6,2.24,220.66,0.875,0.411,1.0
1743179284.8512642,0.6276,0.0054,-0.0416,-0.7771,-0.006,-0.05,0.948,109.891,25.71,-4.142,-5.14,-7.73,257.88,0.47,0.0,1.0
1743179285.8512983,0.6959,0.0277,0.0143,-0.7175,-0.122,-0.059,0.918,9.219,106.426,-12.639,3.42,1.04,268.28,0.0,0.0,1.0
1743179286.8506234,0.7051,0.0235,-0.0086,-0.7086,0.008,0.05,0.973,17.623,1.823,-40.986,1.21,2.6,269.74,0.0,0.181,1.0
1743179287.8497977,0.6068,0.0307,-0.0412,-0.7932,0.032,0.043,0.993,12.091,-0.77,1.146,-0.07,5.89,254.83,0.0,0.318,1.0
1743179288.8494468,0.6175,0.0283,-0.0432,-0.7849,0.045,0.096,0.994,-10.426,4.293,2.134,-0.51,5.9,256.37,0.0,0.316,1.0
1743179289.8496363,0.6426,0.0221,-0.0319,-0.7653,0.007,0.075,0.97,3.227,-5.557,4.503,-0.41,4.43,260.02,0.0,0.277,1.0
1743179290.8500657,0.6467,0.0199,-0.0287,-0.7619,-0.004,0.138,0.987,-0.936,-2.75,-7.593,-0.39,3.98,260.63,0.0,0.26,1.0
1743179291.8496928,0.6257,0.0365,-0.0505,-0.7776,0.013,0.093,1.013,-3.145,2.622,-2.888,-0.36,7.14,257.62,0.0,0.355,1.0
1743179292.8497179,0.6159,0.0615,-0.0629,-0.7829,-0.026,0.18,0.984,0.573,-0.506,-3.443,1.07,10.04,256.47,-0.126,0.415,1.0
