timestamp,quaternion_w,quaternion_x,quaternion_y,quaternion_z,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,orientation_pitch,orientation_roll,orientation_yaw,commands_rollCmd,commands_pitchCmd,commands_yawCmd
1743178889.8498788,0.6938,0.0313,-0.0338,0.7187,0.102,-0.089,1.028,1.905,-2.017,3.971,-5.28,-0.3,92.03,-0.281,0.286,-1.0
1743178890.849558,0.7125,0.008,-0.0166,0.7014,0.086,0.164,1.345,-0.832,5.766,-39.805,-2.0,-0.68,89.12,-0.17,0.207,-1.0
1743178891.8501906,0.9355,0.0476,0.0171,0.3498,0.059,-0.044,0.81,5.692,-2.297,-38.793,-0.08,5.8,41.0,-0.258,0.098,-1.0
1743178892.8495197,0.8707,0.019,-0.0178,0.4912,0.034,0.203,0.872,-15.933,1.551,25.47,-2.85,0.9,58.84,-0.166,0.237,-1.0
1743178893.8499756,0.7769,0.0557,-0.0652,0.6238,0.132,-0.103,1.043,-2.267,5.613,5.574,-9.83,0.3,77.5,-0.356,0.429,-1.0
1743178894.8494437,0.7459,0.0416,-0.0555,0.6625,0.354,-0.05,1.086,-1.962,-9.726,5.602,-7.92,-0.67,83.27,-0.312,0.394,-1.0
1743178895.849563,0.7518,-0.0182,0.1785,0.6345,0.05,0.166,-0.375,11.707,-124.894,-58.698,16.95,12.01,82.12,0.0,-0.592,-1.0
1743178896.8499265,0.8238,0.0263,-0.2942,0.4838,0.174,0.065,0.418,-165.34,30.983,40.505,-30.68,-16.3,65.35,-0.143,1.0,-1.0
1743178897.8499784,0.8238,0.0263,-0.2942,0.4838,0.174,0.065,0.418,-165.34,30.983,40.505,-30.68,-16.3,65.35,-0.143,1.0,-1.0
1743178898.850473,0.8238,0.0263,-0.2942,0.4838,0.174,0.065,0.418,-165.34,30.983,40.505,-30.68,-16.3,65.35,-0.143,1.0,-1.0
1743178899.8504605,0.8238,0.0263,-0.2942,0.4838,0.174,0.065,0.418,-165.34,30.983,40.505,-30.68,-16.3,65.35,-0.143,1.0,-1.0
1743178900.8505602,0.8238,0.0263,-0.2942,0.4838,0.174,0.065,0.418,-165.34,30.983,40.505,-30.68,-16.3,65.35,-0.143,1.0,-1.0
1743178901.8506396,0.8238,0.0263,-0.2942,0.4838,0.174,0.065,0.418,-165.34,30.983,40.505,-30.68,-16.3,65.35,-0.143,1.0,-1.0
1743178902.8497689,0.8238,0.0263,-0.2942,0.4838,0.174,0.065,0.418,-165.34,30.983,40.505,-30.68,-16.3,65.35,-0.143,1.0,-1.0
1743178903.8498871,0.8238,0.0263,-0.2942,0.4838,0.174,0.065,0.418,-165.34,30.983,40.505,-30.68,-16.3,65.35,-0.143,1.0,-1.0
1743178904.8499737,0.8238,0.0263,-0.2942,0.4838,0.174,0.065,0.418,-165.34,30.983,40.505,-30.68,-16.3,65.35,-0.143,1.0,-1.0
1743178905.8501718,0.8238,0.0263,-0.2942,0.4838,0.174,0.065,0.418,-165.34,30.983,40.505,-30.68,-16.3,65.35,-0.143,1.0,-1.0
1743178906.8501475,0.8238,0.0263,-0.2942,0.4838,0.174,0.065,0.418,-165.34,30.983,40.505,-30.68,-16.3,65.35,-0.143,1.0,-1.0
