timestamp,quaternion_w,quaternion_x,quaternion_y,quaternion_z,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,orientation_pitch,orientation_roll,orientation_yaw,commands_rollCmd,commands_pitchCmd,commands_yawCmd
1743179104.849944,0.822,-0.0879,-0.0543,-0.5601,0.041,-0.094,1.139,-1.577,0.94,-27.078,-10.82,-4.88,291.92,0.478,0.383,1.0
1743179105.8544247,0.1364,-0.0263,-0.1368,-0.9808,0.236,0.19,0.746,-32.086,-20.289,-82.559,-5.1,15.2,195.15,0.415,0.812,1.0
1743179106.8525357,0.1315,0.1562,0.0666,0.9767,0.386,0.028,1.109,-6.798,69.197,98.539,-16.71,10.29,163.15,-1.0,-0.343,-1.0
1743179107.850038,0.1392,-0.0741,0.1007,-0.9823,-0.027,-0.17,0.974,68.741,24.936,14.267,-6.75,-12.71,196.88,0.656,-0.495,1.0
1743179108.8505974,0.1311,-0.07,0.0253,-0.9886,-0.02,-0.048,0.955,107.452,8.972,-22.911,-7.57,-3.96,195.37,0.645,-0.033,1.0
1743179109.8494217,0.1015,0.0756,-0.0128,-0.9919,-0.208,0.045,0.805,3.211,-93.635,-7.922,8.48,2.36,191.87,-0.145,0.111,1.0
1743179110.8506546,0.019,-0.0033,-0.034,-0.9992,0.016,-0.023,1.075,-32.517,-21.454,-1.017,-0.46,3.89,182.16,0.303,0.189,1.0
1743179111.8521414,0.0236,-0.0019,-0.0231,-0.9995,0.039,-0.003,1.002,-0.032,5.181,2.018,-0.28,2.65,182.7,0.278,0.149,1.0
1743179112.8503175,0.0164,0.0094,-0.0204,-0.9995,-0.016,0.051,0.99,2.173,-3.232,-3.942,1.03,2.36,182.34,0.212,0.132,1.0
1743179113.850098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1743179114.8494346,0.9195,0.1733,0.0526,-0.3489,-0.044,-0.03,0.965,-13.56,-20.114,12.627,12.57,16.8,320.31,-0.637,0.0,1.0
1743179115.8495648,0.9187,0.0838,-0.0091,-0.3859,-0.069,0.078,0.99,-10.375,1.78,-4.012,2.75,9.28,314.65,-0.268,0.203,1.0
1743179116.849915,0.8917,-0.127,0.025,-0.4337,-0.066,-0.162,0.971,-38.605,-2.955,10.426,-3.76,-14.4,308.6,0.62,0.0,1.0
